Company,Question ID,From Sentences,Unit,Value
Great Eastern Holdings Ltd_report,B-SOC_GED_NHG_M,"new hires year: 2022, new hires: 1,222, female: 716, male: 506, <30 years: 463, 30-50 years: 705, 50 years: 54",%,41.4
Great Eastern Holdings Ltd_report,B-SOC_GED_NHG_F,"new hires year: 2022, new hires: 1,222, female: 716, male: 506, <30 years: 463, 30-50 years: 705, 50 years: 54",%,58.6
Great Eastern Holdings Ltd_report,B-SOC_GED_ETG_M,"turnover year: 2022, turnover: 1,021, female: 624, male: 397, <30 years: 251, 30-50 years: 663, 50 years: 107",%,38.9
Great Eastern Holdings Ltd_report,B-SOC_GED_ETG_F,"turnover year: 2022, turnover: 1,021, female: 624, male: 397, <30 years: 251, 30-50 years: 663, 50 years: 107",%,61.1
Great Eastern Holdings Ltd_report,B-SOC_AGD_CEA_U30,"total headcount year: 2022, total headcount: 5,008, female: 3,148, male: 1,860 year: 2021, total headcount: 4,753, female: 3,045, male: 1,708 year: 2020, total headcount: 4,726, female: 3,044, male: 1,682",%,null
Great Eastern Holdings Ltd_report,B-SOC_AGD_CEA_B35,"total headcount year: 2022, total headcount: 5,008, female: 3,148, male: 1,860 year: 2021, total headcount: 4,753, female: 3,045, male: 1,708 year: 2020, total headcount: 4,726, female: 3,044, male: 1,682",%,null
Great Eastern Holdings Ltd_report,B-SOC_AGD_CEA_A50,"total headcount year: 2022, total headcount: 5,008, female: 3,148, male: 1,860 year: 2021, total headcount: 4,753, female: 3,045, male: 1,708 year: 2020, total headcount: 4,726, female: 3,044, male: 1,682",%,null
Great Eastern Holdings Ltd_report,B-SOC_AGD_NHI_U30,"new hires year: 2022, new hires: 1,222, female: 716, male: 506, <30 years: 463, 30-50 years: 705, 50 years: 54",%,37.8
Great Eastern Holdings Ltd_report,B-SOC_AGD_NHI_B35,"new hires year: 2022, new hires: 1,222, female: 716, male: 506, <30 years: 463, 30-50 years: 705, 50 years: 54",%,57.6
Great Eastern Holdings Ltd_report,B-SOC_AGD_NHI_A50,"new hires year: 2022, new hires: 1,222, female: 716, male: 506, <30 years: 463, 30-50 years: 705, 50 years: 54",%,4.4
Great Eastern Holdings Ltd_report,B-SOC_AGD_TOR_U30,"turnover year: 2022, turnover: 1,021, female: 624, male: 397, <30 years: 251, 30-50 years: 663, 50 years: 107",%,24.6
Great Eastern Holdings Ltd_report,B-SOC_AGD_TOR_B35,"turnover year: 2022, turnover: 1,021, female: 624, male: 397, <30 years: 251, 30-50 years: 663, 50 years: 107",%,64.9
Great Eastern Holdings Ltd_report,B-SOC_AGD_TOR_A50,"turnover year: 2022, turnover: 1,021, female: 624, male: 397, <30 years: 251, 30-50 years: 663, 50 years: 107",%,10.5
Great Eastern Holdings Ltd_report,B-SOC_DEV_ATH_M,"average training hours per employee year: 2022, average training hours per employee: 26.2, female: 26.2, male: 26.3 year: 2021, average training hours per employee: 22.9, female: 21.9, male: 24.5 year: 2020, average training hours per employee: 14.3, female: 13.6, male: 15.7",hours,26.3
Great Eastern Holdings Ltd_report,B-SOC_DEV_ATH_F,"average training hours per employee year: 2022, average training hours per employee: 26.2, female: 26.2, male: 26.3 year: 2021, average training hours per employee: 22.9, female: 21.9, male: 24.5 year: 2020, average training hours per employee: 14.3, female: 13.6, male: 15.7",hours,26.2
Great Eastern Holdings Ltd_report,B-SOC_OHS_FAT,"occupational health & safety³ category: fatalities, 2022: 0 category: high-consequence injuries, 2022: 0 category: recordable injuries, 2022: 0 category: recordable work-related ill health cases, 2022: 0",number,0
Great Eastern Holdings Ltd_report,B-SOC_OHS_HCI,"occupational health & safety³ category: fatalities, 2022: 0 category: high-consequence injuries, 2022: 0 category: recordable injuries, 2022: 0 category: recordable work-related ill health cases, 2022: 0",number,0
Great Eastern Holdings Ltd_report,B-SOC_OHS_REC,"occupational health & safety³ category: fatalities, 2022: 0 category: high-consequence injuries, 2022: 0 category: recordable injuries, 2022: 0 category: recordable work-related ill health cases, 2022: 0",number,0
Great Eastern Holdings Ltd_report,B-SOC_OHS_RWI,"occupational health & safety³ category: fatalities, 2022: 0 category: high-consequence injuries, 2022: 0 category: recordable injuries, 2022: 0 category: recordable work-related ill health cases, 2022: 0",number,0
Great Eastern Holdings Ltd_report,B-GOV_BOC_BIN,"board composition² item: board independence, 2022: 60%",%,60
Great Eastern Holdings Ltd_report,B-GOV_BOC_WOB,"board composition² item: women on the board, 2022: 20%",%,20
Great Eastern Holdings Ltd_report,B-GOV_MAD_WMT,"management diversity² item: women in the management team, 2022: 30%",%,30
Great Eastern Holdings Ltd_report,B-GOV_ETB_ACD,"ethical behaviour² item: anti-corruption disclosures, : refer to pages 26 and 40 item: anti-corruption training for employees, : 100%",number,null
Great Eastern Holdings Ltd_report,B-GOV_ETB_ACT_N,"ethical behaviour² item: anti-corruption disclosures, : refer to pages 26 and 40 item: anti-corruption training for employees, : 100%",number,5008
Great Eastern Holdings Ltd_report,B-GOV_ETB_ACT_P,"ethical behaviour² item: anti-corruption disclosures, : refer to pages 26 and 40 item: anti-corruption training for employees, : 100%",%,100
Great Eastern Holdings Ltd_report,B-GOV_CER_LRC,"certificates¹ location: singapore, list of relevant certifications: bca green building for orchard gateway @ emerald; bca green building for ge changi location: malaysia, list of relevant certifications: green building index gold for plaza equatorial; green building index design assessment for menara great eastern 2",number,"BCA Green Mark for Orchard Gateway @ Emerald, BCA Green Mark for GE Changi, Green Building Index Gold for Plaza Equatorial, Green Building Index Design Assessment for Menara Great Eastern, Data Protection Trustmark Certification, APEC Cross-Border Privacy Rules Certification"
Great Eastern Holdings Ltd_report,B-GOV_ALF_AFD,the report is prepared according to the global reporting initiative gri standards 2021 updated july 2021 – an internationally recognised reporting framework based on a globally common language to disclose an organisation's impacts. this report also complies with sgx listing rules 711a and 711b and takes reference from practice note 7.6 of the sustainability reporting guide. it is prepared in accordance with the recommendations of the task force on climate-related financial disclosures tcfd .,framework,"GRI Standards 2021, TCFD, SGX Listing Rules 711a and 711b"
Great Eastern Holdings Ltd_report,B-GOV_ASS_ASR,we have not sought external assurance for this reporting period.,assurance_type,none
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_AET,"Emissions 1 2 8 table: emissions data tonnes co₂e category: total emissions, 2022: 61,618, 2021 8 : 65,373, 2020: – category: scope 1, 2022: 160, 2021 8 : 237, 2020: – category: scope 2, 2022: 59,941, 2021 8 : 63,496, 2020: 66,470 category: scope 3, 2022: 1,517, 2021 8 : 278, 2020: – table end.",tCO2e,61618
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_AE1,"Emissions 1 2 8 table: emissions data tonnes co₂e category: total emissions, 2022: 61,618, 2021 8 : 65,373, 2020: – category: scope 1, 2022: 160, 2021 8 : 237, 2020: – category: scope 2, 2022: 59,941, 2021 8 : 63,496, 2020: 66,470 category: scope 3, 2022: 1,517, 2021 8 : 278, 2020: – table end.",tCO2e,160
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_AE2,"Emissions 1 2 8 table: emissions data tonnes co₂e category: total emissions, 2022: 61,618, 2021 8 : 65,373, 2020: – category: scope 1, 2022: 160, 2021 8 : 237, 2020: – category: scope 2, 2022: 59,941, 2021 8 : 63,496, 2020: 66,470 category: scope 3, 2022: 1,517, 2021 8 : 278, 2020: – table end.",tCO2e,59941
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_AE3,"Emissions 1 2 8 table: emissions data tonnes co₂e category: total emissions, 2022: 61,618, 2021 8 : 65,373, 2020: – category: scope 1, 2022: 160, 2021 8 : 237, 2020: – category: scope 2, 2022: 59,941, 2021 8 : 63,496, 2020: 66,470 category: scope 3, 2022: 1,517, 2021 8 : 278, 2020: – table end.",tCO2e,1517
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_EIT,There is no information on total emission intensity (tCO2e per organisation-specific metric) in the provided text.,N/A,N/A
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_EI1,There is no information on Scope 1 emission intensity (tCO2e per organisation-specific metric) in the provided text.,N/A,N/A
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_EI2,"table: emission intensity ratios category: scope 2 tonnes co₂e/sq ft 8 , 2022: 0.011, 2021: –, 2020: – table end.",tCO2e/sq ft,0.011
Oversea-Chinese Banking Corporation Limited_report,B-ENV_GHG_EI3,There is no information on Scope 3 emission intensity (tCO2e per organisation-specific metric) in the provided text.,N/A,N/A
Oversea-Chinese Banking Corporation Limited_report,B-ENV_ENC_TEC,"table: electricity consumption data megawatt-hours category: total electricity consumption 8 , 2022: 110,789, 2021: 115,733, 2020: 121,075 category: electricity intensity 8 , 2022: 0.020, 2021: 0.022, 2020: 0.023 table end.",MWh,110789
Oversea-Chinese Banking Corporation Limited_report,B-ENV_ENC_ECI,"table: electricity consumption data megawatt-hours category: total electricity consumption 8 , 2022: 110,789, 2021: 115,733, 2020: 121,075 category: electricity intensity 8 , 2022: 0.020, 2021: 0.022, 2020: 0.023 table end.",MWh/sq ft,0.020
Oversea-Chinese Banking Corporation Limited_report,B-ENV_WAC_TWC,"table: water consumption data cubic meters category: total water consumption 9 , 2022: 400,322, 2021: 407,051, 2020: 507,510 category: water intensity, 2022: 0.10, 2021: 0.08, 2020: 0.09 table end.",m³,400322
Oversea-Chinese Banking Corporation Limited_report,B-ENV_WAC_WCI,"table: water consumption data cubic meters category: total water consumption 9 , 2022: 400,322, 2021: 407,051, 2020: 507,510 category: water intensity, 2022: 0.10, 2021: 0.08, 2020: 0.09 table end.",m³/sq ft,0.10
Oversea-Chinese Banking Corporation Limited_report,B-ENV_WAG_TWG,"table: waste data total weight of recycled waste, including electronic waste category: general waste, 2022: 1,229, 2021: –, 2020: – category: recycled waste 10 , 2022: 163, 2021: –, 2020: – category: office paper 11 , 2022: 369, 2021: 379, 2020: 445 table end.",tons,1761
Oversea-Chinese Banking Corporation Limited_report,B-SOC_GED_CEG_M,"workforce permanent and contract staff table: workforce data 2022 category: total workforce in 2022, value: 31,601 category: total workforce by employment nature in 2022 - contract, value: 2% category: total workforce by employment nature in 2022 - permanent, value: 98% category: total workforce by gender in 2022 - female, value: 57% category: total workforce by gender in 2022 - male, value: 43% table end.",percent,43
Oversea-Chinese Banking Corporation Limited_report,B-SOC_GED_CEG_F,"workforce permanent and contract staff table: workforce data 2022 category: total workforce in 2022, value: 31,601 category: total workforce by employment nature in 2022 - contract, value: 2% category: total workforce by employment nature in 2022 - permanent, value: 98% category: total workforce by gender in 2022 - female, value: 57% category: total workforce by gender in 2022 - male, value: 43% table end.",percent,57
Oversea-Chinese Banking Corporation Limited_report,B-SOC_GED_NHG_M,"representation of female leaders at management level in 2022 board diversity in 2022 7 new hire permanent staff only 1,5 year: 2022 2 , total: 7,325, gender male/female : 49%/51%, age group <30/30-49/≥50 : 41%/43%/16%, new hire rate: 24% 8 year: 2021 3 , total: 5,764, gender male/female : 50%/50%, new hire rate: 19% year: 2020 4 , total: 3,570, gender male/female : 50%/50%, new hire rate: 12% table end.",percent,49
Oversea-Chinese Banking Corporation Limited_report,B-SOC_GED_NHG_F,"representation of female leaders at management level in 2022 board diversity in 2022 7 new hire permanent staff only 1,5 year: 2022 2 , total: 7,325, gender male/female : 49%/51%, age group <30/30-49/≥50 : 41%/43%/16%, new hire rate: 24% 8 year: 2021 3 , total: 5,764, gender male/female : 50%/50%, new hire rate: 19% year: 2020 4 , total: 3,570, gender male/female : 50%/50%, new hire rate: 12% table end.",percent,51
Oversea-Chinese Banking Corporation Limited_report,B-SOC_GED_ETG_M,"attrition rate permanent staff only 1,6 year: 2022 2 , total: 6,408, gender male/female : 45%/55%, age group <30/30-49/≥50 : 30%/62%/8%, attrition rate: 21% 9 year: 2021 3 , total: 5,449, gender male/female : 48%/52%, attrition rate: 18% year: 2020 4 , total: 3,406, gender male/female : 48%/52%, attrition rate: 12% table end.",percent,45
Oversea-Chinese Banking Corporation Limited_report,B-SOC_GED_ETG_F,"attrition rate permanent staff only 1,6 year: 2022 2 , total: 6,408, gender male/female : 45%/55%, age group <30/30-49/≥50 : 30%/62%/8%, attrition rate: 21% 9 year: 2021 3 , total: 5,449, gender male/female : 48%/52%, attrition rate: 18% year: 2020 4 , total: 3,406, gender male/female : 48%/52%, attrition rate: 12% table end.",percent,55
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_CEA_U30,"workforce permanent and contract staff 1 year: 2022 2 , <30: 19%, 30-49: 67%, ≥50: 14% year: 2021 3 , <30: 21%, 30-49: 66%, ≥50: 13% year: 2020 4 , <30: 23%, 30-49: 65%, ≥50: 12% table end.",percent,19
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_CEA_B35,"workforce permanent and contract staff 1 year: 2022 2 , <30: 19%, 30-49: 67%, ≥50: 14% year: 2021 3 , <30: 21%, 30-49: 66%, ≥50: 13% year: 2020 4 , <30: 23%, 30-49: 65%, ≥50: 12% table end.",percent,67
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_CEA_A50,"workforce permanent and contract staff 1 year: 2022 2 , <30: 19%, 30-49: 67%, ≥50: 14% year: 2021 3 , <30: 21%, 30-49: 66%, ≥50: 13% year: 2020 4 , <30: 23%, 30-49: 65%, ≥50: 12% table end.",percent,14
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_NHI_U30,"representation of female leaders at management level in 2022 board diversity in 2022 7 new hire permanent staff only 1,5 year: 2022 2 , total: 7,325, gender male/female : 49%/51%, age group <30/30-49/≥50 : 41%/43%/16%, new hire rate: 24% 8 year: 2021 3 , total: 5,764, gender male/female : 50%/50%, new hire rate: 19% year: 2020 4 , total: 3,570, gender male/female : 50%/50%, new hire rate: 12% table end.",percent,41
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_NHI_B35,"representation of female leaders at management level in 2022 board diversity in 2022 7 new hire permanent staff only 1,5 year: 2022 2 , total: 7,325, gender male/female : 49%/51%, age group <30/30-49/≥50 : 41%/43%/16%, new hire rate: 24% 8 year: 2021 3 , total: 5,764, gender male/female : 50%/50%, new hire rate: 19% year: 2020 4 , total: 3,570, gender male/female : 50%/50%, new hire rate: 12% table end.",percent,43
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_NHI_A50,"representation of female leaders at management level in 2022 board diversity in 2022 7 new hire permanent staff only 1,5 year: 2022 2 , total: 7,325, gender male/female : 49%/51%, age group <30/30-49/≥50 : 41%/43%/16%, new hire rate: 24% 8 year: 2021 3 , total: 5,764, gender male/female : 50%/50%, new hire rate: 19% year: 2020 4 , total: 3,570, gender male/female : 50%/50%, new hire rate: 12% table end.",percent,16
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_TOR_U30,"attrition rate permanent staff only 1,6 year: 2022 2 , total: 6,408, gender male/female : 45%/55%, age group <30/30-49/≥50 : 30%/62%/8%, attrition rate: 21% 9 year: 2021 3 , total: 5,449, gender male/female : 48%/52%, attrition rate: 18% year: 2020 4 , total: 3,406, gender male/female : 48%/52%, attrition rate: 12% table end.",percent,30
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_TOR_B35,"attrition rate permanent staff only 1,6 year: 2022 2 , total: 6,408, gender male/female : 45%/55%, age group <30/30-49/≥50 : 30%/62%/8%, attrition rate: 21% 9 year: 2021 3 , total: 5,449, gender male/female : 48%/52%, attrition rate: 18% year: 2020 4 , total: 3,406, gender male/female : 48%/52%, attrition rate: 12% table end.",percent,62
Oversea-Chinese Banking Corporation Limited_report,B-SOC_AGD_TOR_A50,"attrition rate permanent staff only 1,6 year: 2022 2 , total: 6,408, gender male/female : 45%/55%, age group <30/30-49/≥50 : 30%/62%/8%, attrition rate: 21% 9 year: 2021 3 , total: 5,449, gender male/female : 48%/52%, attrition rate: 18% year: 2020 4 , total: 3,406, gender male/female : 48%/52%, attrition rate: 12% table end.",percent,8
Oversea-Chinese Banking Corporation Limited_report,B-SOC_DEV_ATH_M,"table: average training hours category: average training hours by gender category: male, 2022: 49.1, 2021: 44.6, 2020: 34.4 category: female, 2022: 49.9, 2021: 45.4, 2020: 33.5 category: total, 2022: 49.5, 2021: 45.1, 2020: 33.9 category: average training hours by employee category category: vp and above, 2022: 46.3, 2021: 45.9, 2020: 37.2 category: avp and management associates, 2022: 51.1, 2021: 49.2, 2020: 38.3 category: managers and associates, 2022: 48.7, 2021: 43.5, 2020: 32.4 category: non-executives, 2022: 54.4, 2021: 41.7, 2020: 28.5 category: average training hours by age group years old category: <30, 2022: 61.1, 2021: 52.6, 2020: 40.1 category: 30-49, 2022: 48.0, 2021: 43.7, 2020: 32.9 category: =50, 2022: 40.5, 2021: 40.3, 2020: 27.8 table end.",hours,49.1
Oversea-Chinese Banking Corporation Limited_report,B-SOC_DEV_ATH_F,"table: average training hours category: average training hours by gender category: male, 2022: 49.1, 2021: 44.6, 2020: 34.4 category: female, 2022: 49.9, 2021: 45.4, 2020: 33.5 category: total, 2022: 49.5, 2021: 45.1, 2020: 33.9 category: average training hours by employee category category: vp and above, 2022: 46.3, 2021: 45.9, 2020: 37.2 category: avp and management associates, 2022: 51.1, 2021: 49.2, 2020: 38.3 category: managers and associates, 2022: 48.7, 2021: 43.5, 2020: 32.4 category: non-executives, 2022: 54.4, 2021: 41.7, 2020: 28.5 category: average training hours by age group years old category: <30, 2022: 61.1, 2021: 52.6, 2020: 40.1 category: 30-49, 2022: 48.0, 2021: 43.7, 2020: 32.9 category: =50, 2022: 40.5, 2021: 40.3, 2020: 27.8 table end.",hours,49.9
Oversea-Chinese Banking Corporation Limited_report,B-SOC_OHS_FAT,"table: work-related injuries and ill health 2022 category: recordable work-related injuries, number: 7 category: recordable work-related ill health, number: 0 category: fatalities as a result of work-related injuries, number: 0 table end.",number,0
Oversea-Chinese Banking Corporation Limited_report,B-SOC_OHS_HCI,"table: work-related injuries and ill health 2022 category: recordable work-related injuries, number: 7 category: recordable work-related ill health, number: 0 category: fatalities as a result of work-related injuries, number: 0 table end.",number,7
Oversea-Chinese Banking Corporation Limited_report,B-SOC_OHS_REC,"table: work-related injuries and ill health 2022 category: recordable work-related injuries, number: 7 category: recordable work-related ill health, number: 0 category: fatalities as a result of work-related injuries, number: 0 table end.",number,7
Oversea-Chinese Banking Corporation Limited_report,B-SOC_OHS_RWI,"table: work-related injuries and ill health 2022 category: recordable work-related injuries, number: 7 category: recordable work-related ill health, number: 0 category: fatalities as a result of work-related injuries, number: 0 table end.",number,0
Oversea-Chinese Banking Corporation Limited_report,B-GOV_BOC_BIN,There is no information on the percentage of independent board directors in the provided text.,N/A,N/A
Oversea-Chinese Banking Corporation Limited_report,B-GOV_BOC_WOB,"representation of female leaders at management level in 2022 board diversity in 2022 7 new hire permanent staff only 1,5 year: 2022 2 , total: 7,325, gender male/female : 49%/51%, age group <30/30-49/≥50 : 41%/43%/16%, new hire rate: 24% 8 year: 2021 3 , total: 5,764, gender male/female : 50%/50%, new hire rate: 19% year: 2020 4 , total: 3,570, gender male/female : 50%/50%, new hire rate: 12% table end.as of 7 february 2023, the board comprises 44% female and 56% male directors.",percent,44
Oversea-Chinese Banking Corporation Limited_report,B-GOV_MAD_WMT,There is no information on the percentage of women in senior management in the provided text.,N/A,N/A
Oversea-Chinese Banking Corporation Limited_report,B-GOV_ETB_ACD,"fundamental to ocbc’s code of conduct, we take a zero-tolerance approach to all forms of bribery and corruption. the ocbc group policy on anti-bribery and corruption abc sets out the following commitment and responsibilities via the abc compliance programme: written policies and procedures; risk identification and assessment; training and communication; and reporting channel.",number,4
Oversea-Chinese Banking Corporation Limited_report,B-GOV_ETB_ACT_N,"our performance 100% completion of mandatory staff training fraud awareness, whistleblowing, anti-bribery and anti-corruption 1 98% of employees in singapore exhibit the right behaviours in accordance with the indicators tracked, as revealed by the employee conduct triggers ect programme 2 zero incident of corruption 3 1 the training performance includes employees from ocbc singapore and international branches excludes employees who are on long-term medical, sabbatical leave, etc . 2 this includes employees from ocbc singapore. 3 this includes singapore and international branches under ocbc singapore including bank of singapore , malaysia, china, hong kong and macau.",number,100%
Oversea-Chinese Banking Corporation Limited_report,B-GOV_ETB_ACT_P,"our performance 100% completion of mandatory staff training fraud awareness, whistleblowing, anti-bribery and anti-corruption 1 98% of employees in singapore exhibit the right behaviours in accordance with the indicators tracked, as revealed by the employee conduct triggers ect programme 2 zero incident of corruption 3 1 the training performance includes employees from ocbc singapore and international branches excludes employees who are on long-term medical, sabbatical leave, etc . 2 this includes employees from ocbc singapore. 3 this includes singapore and international branches under ocbc singapore including bank of singapore , malaysia, china, hong kong and macau.",percent,100
